,ligand,receptor,ligand.name,receptor.name,ligand.synonyms,receptor.synonyms,ligand.altern.names,receptor.altern.names,source,PMIDs,cells.L,cells.R,remarks,Pair.Name,DLRP,HPMR,IUPHAR,HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor,Pair.Evidence
76,ADM,VIPR1,ADM [Cleaved into: Adrenomedullin,Vasoactive intestinal polypeptide receptor 1,AM,,AM); Proadrenomedullin N-20 terminal peptid || ProAM N-terminal 20 peptide || PAMP || ProAM-N20),VIP-R-1 || Pituitary adenylate cyclase-activating polypeptide type II receptor || PACAP type II receptor || PACAP-R-2 || PACAP-R2 || VPAC1,reactome,,,,,ADM_VIPR1,,,,,,,,,
77,AGRN,ATP1A3,Agrin [Cleaved into: Agrin N-terminal 110 kDa subunit; Agrin C-terminal 110 kDa subunit; Agrin C-terminal 90 kDa fragment,Sodium/potassium-transporting ATPase subunit alpha-3,AGRIN,,C90); Agrin C-terminal 22 kDa fragmen || C22),Na(+)/K(+) ATPase alpha-3 subunit || EC 3.6.3.9 || Na(+)/K(+) ATPase alpha(III) subunit || Sodium pump subunit alpha-3,fantom5,16630822,,,,AGRN_ATP1A3,,,,,,,,,
78,AGRN,ITGB1,Agrin [Cleaved into: Agrin N-terminal 110 kDa subunit; Agrin C-terminal 110 kDa subunit; Agrin C-terminal 90 kDa fragment,Integrin beta-1,AGRIN,"FNRB,MDF2,MSK12",C90); Agrin C-terminal 22 kDa fragmen || C22),Fibronectin receptor subunit beta || Glycoprotein IIa || GPIIA || VLA-4 subunit beta || CD antigen CD29,reactome,,,,,AGRN_ITGB1,,,,,,,,,
79,AGRN,LRP1,Agrin [Cleaved into: Agrin N-terminal 110 kDa subunit; Agrin C-terminal 110 kDa subunit; Agrin C-terminal 90 kDa fragment,Prolow-density lipoprotein receptor-related protein 1,AGRIN,"A2MR,APR",C90); Agrin C-terminal 22 kDa fragmen || C22),LRP-1 || Alpha-2-macroglobulin receptor || A2MR || Apolipoprotein E receptor || APOER || CD antigen CD91) [Cleaved into: Low-density lipoprotein receptor-related protein 1 85 kDa subuni || LRP-85); Low-density lipoprotein receptor-related protein 1 515 kDa subuni || LRP-515); Low-density lipoprotein receptor-related protein 1 intracellular domai || LRPICD),reactome,,,,,AGRN_LRP1,,,,,,,,,
80,AGRN,LRP2,Agrin [Cleaved into: Agrin N-terminal 110 kDa subunit; Agrin C-terminal 110 kDa subunit; Agrin C-terminal 90 kDa fragment,Low-density lipoprotein receptor-related protein 2,AGRIN,,C90); Agrin C-terminal 22 kDa fragmen || C22),LRP-2 || Glycoprotein 330 || gp330 || Megalin,reactome,,,,,AGRN_LRP2,,,,,,,,,
82,AGRN,MUSK,Agrin [Cleaved into: Agrin N-terminal 110 kDa subunit; Agrin C-terminal 110 kDa subunit; Agrin C-terminal 90 kDa fragment,"Muscle, skeletal receptor tyrosine-protein kinase",AGRIN,,C90); Agrin C-terminal 22 kDa fragmen || C22),EC 2.7.10.1 || Muscle-specific tyrosine-protein kinase receptor || MuSK || Muscle-specific kinase receptor,"fantom5,HPMR,reactome",8653787,,,,AGRN_MUSK,,,,,,,,,
83,AGRP,MC3R,Agouti-related protein,Melanocortin receptor 3,"AGRT,ART",,,MC3-R,"HPRD,HPMR,IUPHAR,fantom5","9311920,9819197,9893984,11747427",,,,AGRP_MC3R,,,,,,,,,
84,AGRP,MC4R,Agouti-related protein,Melanocortin receptor 4,"AGRT,ART",,,MC4-R,"HPMR,fantom5,IUPHAR,HPRD","9311920,9299416,10318826,11747427,12815165",,,,AGRP_MC4R,,,,,,,,,
85,AGRP,MC5R,Agouti-related protein,Melanocortin receptor 5,"AGRT,ART",,,MC5-R || MC-2,"HPRD,fantom5,IUPHAR",9892020,,,,AGRP_MC5R,,,,,,,,,
87,AGT,ADRA2A,Angiotensinogen,Alpha-2A adrenergic receptor,SERPINA8,"ADRA2R,ADRAR",Serpin A8) [Cleaved into: Angiotensin- || Angiotensin 1-10 || Angiotensin I || Ang I); Angiotensin- || Angiotensin 1-8 || Angiotensin II || Ang II); Angiotensin- || Angiotensin 2-8 || Angiotensin III || Ang III || Des-Asp[1]-angiotensin II); Angiotensin- || Angiotensin 3-8 || Angiotensin IV || Ang IV); Angiotensin 1-9; Angiotensin 1-7; Angiotensin 1-5; Angiotensin 1-4,Alpha-2 adrenergic receptor subtype C10 || Alpha-2A adrenoreceptor || Alpha-2A adrenoceptor || Alpha-2AAR,reactome,,,,,AGT_ADRA2A,,,,,,,,,
88,AGT,AGTR1,Angiotensinogen,Type-1 angiotensin II receptor,SERPINA8,"AGTR1A,AGTR1B,AT2R1,AT2R1B",Serpin A8) [Cleaved into: Angiotensin- || Angiotensin 1-10 || Angiotensin I || Ang I); Angiotensin- || Angiotensin 1-8 || Angiotensin II || Ang II); Angiotensin- || Angiotensin 2-8 || Angiotensin III || Ang III || Des-Asp[1]-angiotensin II); Angiotensin- || Angiotensin 3-8 || Angiotensin IV || Ang IV); Angiotensin 1-9; Angiotensin 1-7; Angiotensin 1-5; Angiotensin 1-4,AT1AR || AT1BR || Angiotensin II type-1 receptor || AT1,"HPMR,IUPHAR,fantom5,HPRD","10993080,15930094,21464395,10193788,12006574,15930094",,,,AGT_AGTR1,,,,,,,,,
89,AGT,AGTR2,Angiotensinogen,Type-2 angiotensin II receptor,SERPINA8,,Serpin A8) [Cleaved into: Angiotensin- || Angiotensin 1-10 || Angiotensin I || Ang I); Angiotensin- || Angiotensin 1-8 || Angiotensin II || Ang II); Angiotensin- || Angiotensin 2-8 || Angiotensin III || Ang III || Des-Asp[1]-angiotensin II); Angiotensin- || Angiotensin 3-8 || Angiotensin IV || Ang IV); Angiotensin 1-9; Angiotensin 1-7; Angiotensin 1-5; Angiotensin 1-4,Angiotensin II type-2 receptor || AT2,"HPRD,fantom5,IUPHAR,HPMR","8315512,8185599,17138938,21464395,2775266,7850406,8242249,8185599",,,,AGT_AGTR2,,,,,,,,,
90,AGT,GRM7,Angiotensinogen,Metabotropic glutamate receptor 7,SERPINA8,"GPRC1G,MGLUR7",Serpin A8) [Cleaved into: Angiotensin- || Angiotensin 1-10 || Angiotensin I || Ang I); Angiotensin- || Angiotensin 1-8 || Angiotensin II || Ang II); Angiotensin- || Angiotensin 2-8 || Angiotensin III || Ang III || Des-Asp[1]-angiotensin II); Angiotensin- || Angiotensin 3-8 || Angiotensin IV || Ang IV); Angiotensin 1-9; Angiotensin 1-7; Angiotensin 1-5; Angiotensin 1-4,mGluR7,reactome,,,,,AGT_GRM7,,,,,,,,,
91,AGT,LRP2,Angiotensinogen,Low-density lipoprotein receptor-related protein 2,SERPINA8,,Serpin A8) [Cleaved into: Angiotensin- || Angiotensin 1-10 || Angiotensin I || Ang I); Angiotensin- || Angiotensin 1-8 || Angiotensin II || Ang II); Angiotensin- || Angiotensin 2-8 || Angiotensin III || Ang III || Des-Asp[1]-angiotensin II); Angiotensin- || Angiotensin 3-8 || Angiotensin IV || Ang IV); Angiotensin 1-9; Angiotensin 1-7; Angiotensin 1-5; Angiotensin 1-4,LRP-2 || Glycoprotein 330 || gp330 || Megalin,"fantom5,HPMR",15467006,,,,AGT_LRP2,,,,,,,,,
92,AGT,MAS1,Angiotensinogen,Proto-oncogene Mas,SERPINA8,MAS,Serpin A8) [Cleaved into: Angiotensin- || Angiotensin 1-10 || Angiotensin I || Ang I); Angiotensin- || Angiotensin 1-8 || Angiotensin II || Ang II); Angiotensin- || Angiotensin 2-8 || Angiotensin III || Ang III || Des-Asp[1]-angiotensin II); Angiotensin- || Angiotensin 3-8 || Angiotensin IV || Ang IV); Angiotensin 1-9; Angiotensin 1-7; Angiotensin 1-5; Angiotensin 1-4,,"fantom5,HPMR,HPRD",12829792,,,,AGT_MAS1,,,,,,,,,
94,AHSG,INSR,Alpha-2-HS-glycoprotein,Insulin receptor,"FETUA,PRO2743",,Alpha-2-Z-globulin || Ba-alpha-2-glycoprotein || Fetuin-A) [Cleaved into: Alpha-2-HS-glycoprotein chain A; Alpha-2-HS-glycoprotein chain B,IR || EC 2.7.10.1 || CD antigen CD220) [Cleaved into: Insulin receptor subunit alpha; Insulin receptor subunit beta,"HPRD,fantom5",7906861,,,,AHSG_INSR,,,,,,,,,
96,ALOX5AP,ALOX5,Arachidonate 5-lipoxygenase-activating protein,Arachidonate 5-lipoxygenase,FLAP,LOG5,FLAP || MK-886-binding protein,5-LO || 5-lipoxygenase || EC 1.13.11.34,"IUPHAR,fantom5,HPRD",,,,,ALOX5AP_ALOX5,,,,,,,,,
97,AMELX,LAMP1,"Amelogenin, X isoform",Lysosome-associated membrane glycoprotein 1,"AMG,AMGX",,,LAMP-1 || Lysosome-associated membrane protein 1 || CD107 antigen-like family member A || CD antigen CD107a,fantom5,20382373,,,,AMELX_LAMP1,,,,,,,,,
98,AMELY,LAMP1,"Amelogenin, Y isoform",Lysosome-associated membrane glycoprotein 1,"AMGL,AMGY",,,LAMP-1 || Lysosome-associated membrane protein 1 || CD107 antigen-like family member A || CD antigen CD107a,fantom5,20382373,,,,AMELY_LAMP1,,,,,,,,,
99,AMH,ACVR1,Muellerian-inhibiting factor,Activin receptor type-1,MIF,ACVRLK2,Anti-Muellerian hormone || AMH || Muellerian-inhibiting substance || MIS,EC 2.7.11.30 || Activin receptor type I || ACTR-I || Activin receptor-like kinase 2 || ALK-2 || Serine/threonine-protein kinase receptor R1 || SKR1 || TGF-B superfamily receptor type I || TSR-I,fantom5,14656470,,,,AMH_ACVR1,,,,,,,,,
100,AMH,AMHR2,Muellerian-inhibiting factor,Anti-Muellerian hormone type-2 receptor,MIF,"AMHR,MISR2",Anti-Muellerian hormone || AMH || Muellerian-inhibiting substance || MIS,EC 2.7.11.30 || Anti-Muellerian hormone type II receptor || AMH type II receptor || MIS type II receptor || MISRII || MRII,"HPMR,fantom5,uniprot,HPRD","7997230,889",,,,AMH_AMHR2,,,,,,,,,
101,AMH,EGFR,Muellerian-inhibiting factor,Epidermal growth factor receptor,MIF,"ERBB,ERBB1,HER1",Anti-Muellerian hormone || AMH || Muellerian-inhibiting substance || MIS,EC 2.7.10.1 || Proto-oncogene c-ErbB-1 || Receptor tyrosine-protein kinase erbB-1,"HPRD,fantom5",8596488,,,,AMH_EGFR,,,,,,,,,
102,ANGPT1,ITGA5,Angiopoietin-1,Integrin alpha-5,KIAA0003,FNRA,ANG-1,CD49 antigen-like family member E || Fibronectin receptor subunit alpha || Integrin alpha-F || VLA-5 || CD antigen CD49e) [Cleaved into: Integrin alpha-5 heavy chain; Integrin alpha-5 light chain,"HPRD,fantom5",15781448,,,,ANGPT1_ITGA5,,,,,,,,,
103,ANGPT1,ITGB1,Angiopoietin-1,Integrin beta-1,KIAA0003,"FNRB,MDF2,MSK12",ANG-1,Fibronectin receptor subunit beta || Glycoprotein IIa || GPIIA || VLA-4 subunit beta || CD antigen CD29,fantom5,,,,,ANGPT1_ITGB1,,,,,,,,,
104,ANGPT1,TEK,Angiopoietin-1,Angiopoietin-1 receptor,KIAA0003,"TIE2,VMCM,VMCM1",ANG-1,EC 2.7.10.1 || Endothelial tyrosine kinase || Tunica interna endothelial cell kinase || Tyrosine kinase with Ig and EGF homology domains-2 || Tyrosine-protein kinase receptor TEK || Tyrosine-protein kinase receptor TIE-2 || hTIE2 || p140 TEK || CD antigen CD202b,"HPRD,HPMR,IUPHAR,fantom5","8980223,9723709,8980223,12427764,8980224",,,,ANGPT1_TEK,,,,,,,,,
105,ANGPT1,TIE1,Angiopoietin-1,Tyrosine-protein kinase receptor Tie-1,KIAA0003,TIE,ANG-1,EC 2.7.10.1,"HPMR,fantom5",11172728,,,,ANGPT1_TIE1,,,,,,,,,
106,ANGPT2,TEK,Angiopoietin-2,Angiopoietin-1 receptor,,"TIE2,VMCM,VMCM1",ANG-2,EC 2.7.10.1 || Endothelial tyrosine kinase || Tunica interna endothelial cell kinase || Tyrosine kinase with Ig and EGF homology domains-2 || Tyrosine-protein kinase receptor TEK || Tyrosine-protein kinase receptor TIE-2 || hTIE2 || p140 TEK || CD antigen CD202b,"HPMR,fantom5,HPRD","9204896,972",,,,ANGPT2_TEK,,,,,,,,,
107,ANGPT2,TIE1,Angiopoietin-2,Tyrosine-protein kinase receptor Tie-1,,TIE,ANG-2,EC 2.7.10.1,fantom5,,,,,ANGPT2_TIE1,,,,,,,,,
110,ANGPTL1,TEK,Angiopoietin-related protein 1,Angiopoietin-1 receptor,"ANG3,ANGPT3,ARP1,PSEC0154,UNQ162/PRO188","TIE2,VMCM,VMCM1",Angiopoietin-3 || ANG-3 || Angiopoietin-like protein 1,EC 2.7.10.1 || Endothelial tyrosine kinase || Tunica interna endothelial cell kinase || Tyrosine kinase with Ig and EGF homology domains-2 || Tyrosine-protein kinase receptor TEK || Tyrosine-protein kinase receptor TIE-2 || hTIE2 || p140 TEK || CD antigen CD202b,"fantom5,HPRD",10051567,,,,ANGPTL1_TEK,,,,,,,,,
111,ANGPTL2,TIE1,Angiopoietin-related protein 2,Tyrosine-protein kinase receptor Tie-1,"ARP2,UNQ170/PRO196",TIE,Angiopoietin-like protein 2,EC 2.7.10.1,fantom5,,,,,ANGPTL2_TIE1,,,,,,,,,
112,ANGPTL3,ITGA5,Angiopoietin-related protein 3,Integrin alpha-5,"ANGPT5,UNQ153/PRO179",FNRA,Angiopoietin-5 || ANG-5 || Angiopoietin-like protein 3) [Cleaved into: ANGPTL3(17-221); ANGPTL3(17-224),CD49 antigen-like family member E || Fibronectin receptor subunit alpha || Integrin alpha-F || VLA-5 || CD antigen CD49e) [Cleaved into: Integrin alpha-5 heavy chain; Integrin alpha-5 light chain,"HPRD,fantom5",11877390,,,,ANGPTL3_ITGA5,,,,,,,,,
113,ANGPTL3,ITGAV,Angiopoietin-related protein 3,Integrin alpha-V,"ANGPT5,UNQ153/PRO179","MSK8,VNRA,VTNR",Angiopoietin-5 || ANG-5 || Angiopoietin-like protein 3) [Cleaved into: ANGPTL3(17-221); ANGPTL3(17-224),Vitronectin receptor || Vitronectin receptor subunit alpha || CD antigen CD51) [Cleaved into: Integrin alpha-V heavy chain; Integrin alpha-V light chain,"HPRD,fantom5",11877390,,,,ANGPTL3_ITGAV,,,,,,,,,
114,ANGPTL3,ITGB3,Angiopoietin-related protein 3,Integrin beta-3,"ANGPT5,UNQ153/PRO179",GP3A,Angiopoietin-5 || ANG-5 || Angiopoietin-like protein 3) [Cleaved into: ANGPTL3(17-221); ANGPTL3(17-224),Platelet membrane glycoprotein IIIa || GPIIIa || CD antigen CD61,"HPRD,fantom5",11877390,,,,ANGPTL3_ITGB3,,,,,,,,,
115,ANGPTL4,TIE1,Angiopoietin-related protein 4,Tyrosine-protein kinase receptor Tie-1,"ARP4,HFARP,PGAR,PP1158,PSEC0166,UNQ171/PRO197",TIE,Angiopoietin-like protein 4 || Hepatic fibrinogen/angiopoietin-related protein || HFARP,EC 2.7.10.1,fantom5,,,,,ANGPTL4_TIE1,,,,,,,,,
116,ANOS1,FGFR1,Anosmin-1,Fibroblast growth factor receptor 1,"ADMLX,KAL,KAL1,KALIG1","BFGFR,CEK,FGFBR,FLG,FLT2,HBGFR",Adhesion molecule-like X-linked || Kallmann syndrome protein,FGFR-1 || EC 2.7.10.1 || Basic fibroblast growth factor receptor 1 || BFGFR || bFGF-R-1 || Fms-like tyrosine kinase 2 || FLT-2 || N-sam || Proto-oncogene c-Fgr || CD antigen CD331,fantom5,19696444,,,,ANOS1_FGFR1,,,,,,,,,
117,ANOS1,SDC2,Anosmin-1,Syndecan-2,"ADMLX,KAL,KAL1,KALIG1",HSPG1,Adhesion molecule-like X-linked || Kallmann syndrome protein,SYND2 || Fibroglycan || Heparan sulfate proteoglycan core protein || HSPG || CD antigen CD362,"HPRD,fantom5",,,,,ANOS1_SDC2,,,,,,,,,
118,ANXA1,ADRA2A,Annexin A1,Alpha-2A adrenergic receptor,"ANX1,LPC1","ADRA2R,ADRAR",Annexin I || Annexin-1 || Calpactin II || Calpactin-2 || Chromobindin-9 || Lipocortin I || Phospholipase A2 inhibitory protein || p35,Alpha-2 adrenergic receptor subtype C10 || Alpha-2A adrenoreceptor || Alpha-2A adrenoceptor || Alpha-2AAR,reactome,,,,,ANXA1_ADRA2A,,,,,,,,,
120,ANXA1,EGFR,Annexin A1,Epidermal growth factor receptor,"ANX1,LPC1","ERBB,ERBB1,HER1",Annexin I || Annexin-1 || Calpactin II || Calpactin-2 || Chromobindin-9 || Lipocortin I || Phospholipase A2 inhibitory protein || p35,EC 2.7.10.1 || Proto-oncogene c-ErbB-1 || Receptor tyrosine-protein kinase erbB-1,"fantom5,HPRD",15581623,,,,ANXA1_EGFR,,,,,,,,,
121,ANXA1,FPR1,Annexin A1,fMet-Leu-Phe receptor,"ANX1,LPC1",,Annexin I || Annexin-1 || Calpactin II || Calpactin-2 || Chromobindin-9 || Lipocortin I || Phospholipase A2 inhibitory protein || p35,fMLP receptor || N-formyl peptide receptor || FPR || N-formylpeptide chemoattractant receptor,"HPRD,IUPHAR,fantom5,HPMR","10882119,13",,,,ANXA1_FPR1,,,,,,,,,
122,ANXA1,FPR2,Annexin A1,N-formyl peptide receptor 2,"ANX1,LPC1","FPRH1,FPRL1,LXA4R",Annexin I || Annexin-1 || Calpactin II || Calpactin-2 || Chromobindin-9 || Lipocortin I || Phospholipase A2 inhibitory protein || p35,FMLP-related receptor I || FMLP-R-I || Formyl peptide receptor-like 1 || HM63 || Lipoxin A4 receptor || LXA4 receptor || RFP,"IUPHAR,fantom5","12368905,10882119,12560218,16278303",,,,ANXA1_FPR2,,,,,,,,,
123,ANXA1,FPR3,Annexin A1,N-formyl peptide receptor 3,"ANX1,LPC1","FPRH1,FPRL2",Annexin I || Annexin-1 || Calpactin II || Calpactin-2 || Chromobindin-9 || Lipocortin I || Phospholipase A2 inhibitory protein || p35,FMLP-related receptor II || FMLP-R-II || Formyl peptide receptor-like 2,"IUPHAR,fantom5",15187149,,,,ANXA1_FPR3,,,,,,,,,
124,ANXA1,GRM7,Annexin A1,Metabotropic glutamate receptor 7,"ANX1,LPC1","GPRC1G,MGLUR7",Annexin I || Annexin-1 || Calpactin II || Calpactin-2 || Chromobindin-9 || Lipocortin I || Phospholipase A2 inhibitory protein || p35,mGluR7,reactome,,,,,ANXA1_GRM7,,,,,,,,,
125,ANXA1,MTNR1A,Annexin A1,Melatonin receptor type 1A,"ANX1,LPC1",,Annexin I || Annexin-1 || Calpactin II || Calpactin-2 || Chromobindin-9 || Lipocortin I || Phospholipase A2 inhibitory protein || p35,Mel-1A-R || Mel1a receptor,reactome,,,,,ANXA1_MTNR1A,,,,,,,,,
127,APLN,APLNR,Apelin,Apelin receptor,APEL,"AGTRL1,APJ",APJ endogenous ligand) [Cleaved into: Apelin-36; Apelin-31; Apelin-28; Apelin-13,Angiotensin receptor-like 1 || G-protein coupled receptor APJ || G-protein coupled receptor HG11,"HPMR,fantom5,IUPHAR,HPRD","10617103,9792798,12603839,15341513,10777510,12939143,11336787",,,,APLN_APLNR,,,,,,,,,
128,APLN,GRM7,Apelin,Metabotropic glutamate receptor 7,APEL,"GPRC1G,MGLUR7",APJ endogenous ligand) [Cleaved into: Apelin-36; Apelin-31; Apelin-28; Apelin-13,mGluR7,reactome,"10617103,9792798,12603839,15341513,10777510,12939143,11336787",,,,APLN_GRM7,,,,,,,,,
129,APLN,MTNR1A,Apelin,Melatonin receptor type 1A,APEL,,APJ endogenous ligand) [Cleaved into: Apelin-36; Apelin-31; Apelin-28; Apelin-13,Mel-1A-R || Mel1a receptor,reactome,,,,,APLN_MTNR1A,,,,,,,,,
130,APOA1,LDLR,Apolipoprotein A-I,Low-density lipoprotein receptor,,,Apo-AI || ApoA-I || Apolipoprotein A1) [Cleaved into: Proapolipoprotein A- || ProapoA-I); Truncated apolipoprotein A- || Apolipoprotein A-I(1-242)),LDL receptor,reactome,,,,,APOA1_LDLR,,,,,,,,,
131,APOA1,LRP1,Apolipoprotein A-I,Prolow-density lipoprotein receptor-related protein 1,,"A2MR,APR",Apo-AI || ApoA-I || Apolipoprotein A1) [Cleaved into: Proapolipoprotein A- || ProapoA-I); Truncated apolipoprotein A- || Apolipoprotein A-I(1-242)),LRP-1 || Alpha-2-macroglobulin receptor || A2MR || Apolipoprotein E receptor || APOER || CD antigen CD91) [Cleaved into: Low-density lipoprotein receptor-related protein 1 85 kDa subuni || LRP-85); Low-density lipoprotein receptor-related protein 1 515 kDa subuni || LRP-515); Low-density lipoprotein receptor-related protein 1 intracellular domai || LRPICD),reactome,,,,,APOA1_LRP1,,,,,,,,,
132,APOA1,LRP2,Apolipoprotein A-I,Low-density lipoprotein receptor-related protein 2,,,Apo-AI || ApoA-I || Apolipoprotein A1) [Cleaved into: Proapolipoprotein A- || ProapoA-I); Truncated apolipoprotein A- || Apolipoprotein A-I(1-242)),LRP-2 || Glycoprotein 330 || gp330 || Megalin,reactome,,,,,APOA1_LRP2,,,,,,,,,
133,APOA2,LDLR,Apolipoprotein A-II,Low-density lipoprotein receptor,,,Apo-AII || ApoA-II || Apolipoprotein A2) [Cleaved into: Proapolipoprotein A-I || ProapoA-II); Truncated apolipoprotein A-I || Apolipoprotein A-II(1-76)),LDL receptor,reactome,,,,,APOA2_LDLR,,,,,,,,,
134,APOA2,LRP1,Apolipoprotein A-II,Prolow-density lipoprotein receptor-related protein 1,,"A2MR,APR",Apo-AII || ApoA-II || Apolipoprotein A2) [Cleaved into: Proapolipoprotein A-I || ProapoA-II); Truncated apolipoprotein A-I || Apolipoprotein A-II(1-76)),LRP-1 || Alpha-2-macroglobulin receptor || A2MR || Apolipoprotein E receptor || APOER || CD antigen CD91) [Cleaved into: Low-density lipoprotein receptor-related protein 1 85 kDa subuni || LRP-85); Low-density lipoprotein receptor-related protein 1 515 kDa subuni || LRP-515); Low-density lipoprotein receptor-related protein 1 intracellular domai || LRPICD),reactome,,,,,APOA2_LRP1,,,,,,,,,
135,APOA2,LRP2,Apolipoprotein A-II,Low-density lipoprotein receptor-related protein 2,,,Apo-AII || ApoA-II || Apolipoprotein A2) [Cleaved into: Proapolipoprotein A-I || ProapoA-II); Truncated apolipoprotein A-I || Apolipoprotein A-II(1-76)),LRP-2 || Glycoprotein 330 || gp330 || Megalin,reactome,,,,,APOA2_LRP2,,,,,,,,,
136,APOA4,LDLR,Apolipoprotein A-IV,Low-density lipoprotein receptor,,,Apo-AIV || ApoA-IV || Apolipoprotein A4,LDL receptor,reactome,,,,,APOA4_LDLR,,,,,,,,,
137,APOA4,LRP1,Apolipoprotein A-IV,Prolow-density lipoprotein receptor-related protein 1,,"A2MR,APR",Apo-AIV || ApoA-IV || Apolipoprotein A4,LRP-1 || Alpha-2-macroglobulin receptor || A2MR || Apolipoprotein E receptor || APOER || CD antigen CD91) [Cleaved into: Low-density lipoprotein receptor-related protein 1 85 kDa subuni || LRP-85); Low-density lipoprotein receptor-related protein 1 515 kDa subuni || LRP-515); Low-density lipoprotein receptor-related protein 1 intracellular domai || LRPICD),reactome,,,,,APOA4_LRP1,,,,,,,,,
138,APOA4,LRP2,Apolipoprotein A-IV,Low-density lipoprotein receptor-related protein 2,,,Apo-AIV || ApoA-IV || Apolipoprotein A4,LRP-2 || Glycoprotein 330 || gp330 || Megalin,reactome,,,,,APOA4_LRP2,,,,,,,,,
139,APOB,ADRB2,Apolipoprotein B-100,Beta-2 adrenergic receptor,,"ADRB2R,B2AR",Apo B-100) [Cleaved into: Apolipoprotein B-4 || Apo B-48),Beta-2 adrenoreceptor || Beta-2 adrenoceptor,reactome,,,,,APOB_ADRB2,,,,,,,,,
140,APOB,CALCR,Apolipoprotein B-100,Calcitonin receptor,,,Apo B-100) [Cleaved into: Apolipoprotein B-4 || Apo B-48),CT-R,fantom5,,,,,APOB_CALCR,,,,,,,,,
141,APOB,ITGAM,Apolipoprotein B-100,Integrin alpha-M,,"CD11B,CR3A",Apo B-100) [Cleaved into: Apolipoprotein B-4 || Apo B-48),CD11 antigen-like family member B || CR-3 alpha chain || Cell surface glycoprotein MAC-1 subunit alpha || Leukocyte adhesion receptor MO1 || Neutrophil adherence receptor || CD antigen CD11b,fantom5,,,,,APOB_ITGAM,,,,,,,,,
142,APOB,ITGB2,Apolipoprotein B-100,Integrin beta-2,,"CD18,MFI7",Apo B-100) [Cleaved into: Apolipoprotein B-4 || Apo B-48),"Cell surface adhesion glycoproteins LFA-1/CR3/p150,95 subunit beta || Complement receptor C3 subunit beta || CD antigen CD18",fantom5,,,,,APOB_ITGB2,,,,,,,,,
143,APOB,LDLR,Apolipoprotein B-100,Low-density lipoprotein receptor,,,Apo B-100) [Cleaved into: Apolipoprotein B-4 || Apo B-48),LDL receptor,"fantom5,HPMR,HPRD,reactome","11327878,12",,,,APOB_LDLR,,,,,,,,,
144,APOB,LRP1,Apolipoprotein B-100,Prolow-density lipoprotein receptor-related protein 1,,"A2MR,APR",Apo B-100) [Cleaved into: Apolipoprotein B-4 || Apo B-48),LRP-1 || Alpha-2-macroglobulin receptor || A2MR || Apolipoprotein E receptor || APOER || CD antigen CD91) [Cleaved into: Low-density lipoprotein receptor-related protein 1 85 kDa subuni || LRP-85); Low-density lipoprotein receptor-related protein 1 515 kDa subuni || LRP-515); Low-density lipoprotein receptor-related protein 1 intracellular domai || LRPICD),reactome,,,,,APOB_LRP1,,,,,,,,,
